id,text,clean_text,eng
b'gAAAAABkk1QzXRXkQGpub_6dYV6sr6W3FecITEmiTM0y1NGz4dUvjtIv_yPOlir3yhgv_pEiiclfejxzbOXcM83XQCKcjTVJ62tGiA4qCZtCvmJ83s-ZDvA=',"Wenn es vorher gesagt wurde, dann hat ja der die Chance auch Vegan zu kochen  #dasperfektedinner",wenn es vorher gesagt wurde dann hat ja der die chance auch vegan zu kochen dasperfektedinner,if it was said before then has the chance to cook vegan theperfectdinner
b'gAAAAABkk1QzsIDfuCU6uHsRmDIN6hIhGqo9mxI3ihOVYucYl_GA2dAdA7_aeEqnBGjsWBUUiZKimyK7KrkEc5tFCBdaDU09AuJW5rSxGlwz1dgKBYWdZ1Y=',@KopietzAndreas bei den ganzen Tofu Torbens und Soja Sonjas bekommt man ja richtig Angst. \nWarum so wenige? Hängen die anderen noch am veganen Büffet in der Kirche und hatten keine Lust?,bei den ganzen tofu torbens und soja sonjas bekommt man ja richtig angst warum so wenige hängen die anderen noch am veganen büffet in der kirche und hatten keine lust,with all the tofu torbens and soja sonjas you get really scared why so few hang the others still at the vegan buffet in the church and had no desire
b'gAAAAABkk1Qz5f-il0wc893EfWhoeC-NfuytH2UYC_nDuSV6OcFb5aVk5XOoGuDPDgtOfrUskiwx05n3JiMz_IQSvyidIdDLOzpaEDJu1y6vYYaUTqvJVGc=',"@KauftKoerrie Nun ja, für den Anfang nicht schlecht. Allerdings würde ich dir - nach meinem aktuellen Test - von U80 ganz ohne Käsetortellini mit (veganem) Knoblauchhühnchen, frischen braunen Champignons, Paprika, Tomate, Grana Padano &amp; Frühlingszwiebeln dringend abraten. Sehr dringend!",nun ja für den anfang nicht schlecht allerdings würde ich dir nach meinem aktuellen test von u ganz ohne käsetortellini mit veganem knoblauchhühnchen frischen braunen champignons paprika tomate grana padano amp frühlingszwiebeln dringend abraten sehr dringend,well for the start not bad however I would advise you after my current test of u completely without cheese tortellini with vegan garlic chicken fresh brown champagnes paprika tomate grana padano amp spring onions very urgent
b'gAAAAABkk1Qzii8BJtPSxUy-1ky14t8gWpzlPu5IpmotapjMfk-wHD-TtB6pDMATuVWzf2mjGIBJJmKZVXm_JnUYLOgxT3AM1DICX7xmM6NRcR0G8ovzGHQ=',@VeganCardio @Flokugrafie Das ist wirklich skandalös u saublöd aber irgendwie auch wieder egal. Schön dass du da bist. Danke für die Homepage vegdocs!!! Habe selber in Berlin neulich eine vegan freundliche Arztpraxis gesucht u über eine ChatGruppe dann gefunden. Schon mal überlegt zu Mastodon zu wechseln?,das ist wirklich skandalös u saublöd aber irgendwie auch wieder egal schön dass du da bist danke für die homepage vegdocs habe selber in berlin neulich eine vegan freundliche arztpraxis gesucht u über eine chatgruppe dann gefunden schon mal überlegt zu mastodon zu wechseln,that's really scandalous u saublöd but somehow it doesn't matter that you're there thanks for the homepage vegdocs myself in berlin recently looking for a vegan friendly doctor's practice u found over a chat group then already thought about changing Mastodon
b'gAAAAABkk1Qzo5WfpTDRJQK0v5wNZkAs6ZgjYAYQM8_B8J7AMFU1fmmdUa75VZErB-bIx37Oe4wZVkgXiioaVeei6DRyFLhS8QGSkhpYhXi8o3Ogi5MkcAE=',"@SerapGueler Wie wollen diese beiden veganen Soldaten unser Land schützen wenn keine Munition vorhanden ist, vegane Fleischbälle auf den Gegner werfen?",wie wollen diese beiden veganen soldaten unser land schützen wenn keine munition vorhanden ist vegane fleischbälle auf den gegner werfen,how do these two vegan soldiers want to protect our country if no ammunition is available vegan meatballs throw at the opponent
b'gAAAAABkk1Qz-ilJsH2vxCSxlxAsOb3Ot0TsfqNWLylEhi0ZWLg6GcmlZ9iZE9T7M-2PgOYWrhlZOZKu0YSWIy0mgE_lCw56pbipZUAzRzLV-riqH19P_ik=',"Veganismus ausgedribbelt, natürlich nur echt mit gekauftem blauen Haken https://t.co/zaV4BdiUnz",veganismus ausgedribbelt natürlich nur echt mit gekauftem blauen haken,veganism drifted out of course only real with bought blue hook
b'gAAAAABkk1Qz1gJt0TZzrdDk7IiXbau7Iip77LMIN8VuZfXKvhRWL_5oVgVd7hmzRR0qY1c8bZGNBIGCDG_7_HIQrgRbpqFhCnJ4OkK85a16JrG0gfw9leI=',"""Der Faschismus ist der Gleiche geblieben, nur die Opfer sind unterschiedlich"" sagt die ""Militante Veganerin"" in einer Gleichsetzung des Holocausts mit der Tierindustrie.\n\nFür die Relativierung der Shoa bietet @TwitchDE selbstverständlich eine Monetarisierungsplattform. https://t.co/UZO4LIlaiV",der faschismus ist der gleiche geblieben nur die opfer sind unterschiedlich sagt die militante veganerin in einer gleichsetzung des holocausts mit der tierindustriefür die relativierung der shoa bietet selbstverständlich eine monetarisierungsplattform,fascism has remained the same only the victims are different says the militant vegan in an equalization of the holocaust with the animal industryfor the relativization of the shoa naturally offers a monetization platform
b'gAAAAABkk1Qz54d8lQJt-k6TsDBJrxcg3msCGxe6hlmpPZ-CMkXYqyg4lcq9DQfIqnQpe-Gb75xhiiC52vZUOMfJL3Ca9Jb5Gq7C8MFwpcycxWcxsGBe6nQ=',"@HansUnland @dockyyyyyyyyy Ich halte ja die Aufschrift ""vegan"" bei Apfelsaft für eine Lüge. 🤡😈",ich halte ja die aufschrift vegan bei apfelsaft für eine lüge,I think the inscription vegan at apple juice is a lie
b'gAAAAABkk1Qz7IV78Hp3yEqKX9H0V0ZxYfPir-v3XXWFW8zLUojBf5Y_qVTGXlrnSXp_WKlF0zKCu2n-2s3GMI2gsiymZ-o8G3AQ2RB9NIKJUbBwxj246qo=',"@bine_delvalle Wenn diese Camembert, Wurst und Salami vegan sind hätte ich gerne die Marken. WOW!",wenn diese camembert wurst und salami vegan sind hätte ich gerne die marken wow,if these camembert sausages and salami are vegan I would like the brands wow
b'gAAAAABkk1QzqybPPQTTurtoV6uOXab5tfnl6TJXOZ_b3i7ty-vvWE6F24bD0U42UFbY5iJ218hqh0OzOygMOlzwgnp2bMnJMjOutfbBMKN0G8RLtVVUeFU=',"Wollte Kichererbsenpasta mit Tofu, Tomatensoße und Rucola machen. Beim Kochen unnatürlich Bock auf Ananas bekommen und naja, jetzt irgendwie Tofu-Pfanne mit Ananas, Rucola und Chili 😍\n\n#veganfood #plantbasedfood https://t.co/2ownDMQq8J",wollte kichererbsenpasta mit tofu tomatensoße und rucola machen beim kochen unnatürlich bock auf ananas bekommen und naja jetzt irgendwie tofupfanne mit ananas rucola und chili veganfood plantbasedfood,wanted to make chickpea pasta with tofu tomato sauce and rucola while cooking unnatural bock on pineapple and well now somehow tofu pan with pineapple rucola and chili veganfood plantbasedfood
