id,text,clean_text,eng,author.id,word_count,tweet_without_stopwords,tweet_lemmatized,topic_match,topic_similarity,is_vegan
b'gAAAAABkk1QzXRXkQGpub_6dYV6sr6W3FecITEmiTM0y1NGz4dUvjtIv_yPOlir3yhgv_pEiiclfejxzbOXcM83XQCKcjTVJ62tGiA4qCZtCvmJ83s-ZDvA=',"Wenn es vorher gesagt wurde, dann hat ja der die Chance auch Vegan zu kochen  #dasperfektedinner",wenn es vorher gesagt wurde dann hat ja der die chance auch vegan zu kochen dasperfektedinner,if it was said before then has the chance to cook vegan theperfectdinner,b'gAAAAABkk1QzCyLO1UJsj28XJcbqONc6aLXXhCn5jxBEPLtj5xd7X8XMd6fG9P5Fk4mWfTMDwxinYAtXbaRJC5gNi4QVMEXCeNWylbMZ3ui47kolaZbwJ2w=',13,said chance cook vegan theperfectdinner,said chance cook vegan theperfectdinner,3107,0.7300000190734863,False
b'gAAAAABkk1QzsIDfuCU6uHsRmDIN6hIhGqo9mxI3ihOVYucYl_GA2dAdA7_aeEqnBGjsWBUUiZKimyK7KrkEc5tFCBdaDU09AuJW5rSxGlwz1dgKBYWdZ1Y=',@KopietzAndreas bei den ganzen Tofu Torbens und Soja Sonjas bekommt man ja richtig Angst. \nWarum so wenige? Hängen die anderen noch am veganen Büffet in der Kirche und hatten keine Lust?,bei den ganzen tofu torbens und soja sonjas bekommt man ja richtig angst warum so wenige hängen die anderen noch am veganen büffet in der kirche und hatten keine lust,with all the tofu torbens and soja sonjas you get really scared why so few hang the others still at the vegan buffet in the church and had no desire,b'gAAAAABkk1QzG-jeJ8b-MGpokg-vIl0h7T4pCa4Hnbw6PMnpH0NsAJTehfHLPZC2UcLFOjaDwMkdhfRKknFOOv7VSPTm20NWQdVNS9G4UMucvMqTLPI_cq0=',30,tofu torbens soja sonjas get really scared hang others still vegan buffet church desire,tofu torbens soja sonjas get really scared hang others still vegan buffet church desire,2126,0.5600000023841858,False
b'gAAAAABkk1Qz5f-il0wc893EfWhoeC-NfuytH2UYC_nDuSV6OcFb5aVk5XOoGuDPDgtOfrUskiwx05n3JiMz_IQSvyidIdDLOzpaEDJu1y6vYYaUTqvJVGc=',"@KauftKoerrie Nun ja, für den Anfang nicht schlecht. Allerdings würde ich dir - nach meinem aktuellen Test - von U80 ganz ohne Käsetortellini mit (veganem) Knoblauchhühnchen, frischen braunen Champignons, Paprika, Tomate, Grana Padano &amp; Frühlingszwiebeln dringend abraten. Sehr dringend!",nun ja für den anfang nicht schlecht allerdings würde ich dir nach meinem aktuellen test von u ganz ohne käsetortellini mit veganem knoblauchhühnchen frischen braunen champignons paprika tomate grana padano amp frühlingszwiebeln dringend abraten sehr dringend,well for the start not bad however i would advise you after my current test of u completely without cheese tortellini with vegan garlic chicken fresh brown champagnes paprika tomate grana padano amp spring onions very urgent,b'gAAAAABkk1Qzv_t69CEEXdlYkfsFeLG2l6Cf02j6laHYamyOGSsjl-3Zp4eRoudxX6AAKEJgw3uI00N9VfOY0mQqD6lfsNRSBg==',37,well start bad however would advise current test u completely without cheese tortellini vegan garlic chicken fresh brown champagnes paprika tomate grana padano amp spring onions urgent,well start bad however would advise current test u completely without cheese tortellini vegan garlic chicken fresh brown champagne paprika tomate grana padano amp spring onion urgent,18,0.5199999809265137,False
b'gAAAAABkk1Qzii8BJtPSxUy-1ky14t8gWpzlPu5IpmotapjMfk-wHD-TtB6pDMATuVWzf2mjGIBJJmKZVXm_JnUYLOgxT3AM1DICX7xmM6NRcR0G8ovzGHQ=',@VeganCardio @Flokugrafie Das ist wirklich skandalös u saublöd aber irgendwie auch wieder egal. Schön dass du da bist. Danke für die Homepage vegdocs!!! Habe selber in Berlin neulich eine vegan freundliche Arztpraxis gesucht u über eine ChatGruppe dann gefunden. Schon mal überlegt zu Mastodon zu wechseln?,das ist wirklich skandalös u saublöd aber irgendwie auch wieder egal schön dass du da bist danke für die homepage vegdocs habe selber in berlin neulich eine vegan freundliche arztpraxis gesucht u über eine chatgruppe dann gefunden schon mal überlegt zu mastodon zu wechseln,that's really scandalous u saublöd but somehow it doesn't matter that you're there thanks for the homepage vegdocs myself in berlin recently looking for a vegan friendly doctor's practice u found over a chat group then already thought about changing mastodon,b'gAAAAABkk1QzVVrhzUjHv_p4e1bXWqug-_cS2lwUYjPg_68Y7pEv-jbsr_2UdZr38NRSBYiBYgTl_bs6pR5whpXj_1IP6FRcUw==',41,that's really scandalous u saublöd somehow matter thanks homepage vegdocs berlin recently looking vegan friendly doctor's practice u found chat group already thought changing mastodon,that's really scandalous u saublöd somehow matter thanks homepage vegdocs berlin recently looking vegan friendly doctor's practice u found chat group already thought changing mastodon,5,0.5199999809265137,True
b'gAAAAABkk1Qzo5WfpTDRJQK0v5wNZkAs6ZgjYAYQM8_B8J7AMFU1fmmdUa75VZErB-bIx37Oe4wZVkgXiioaVeei6DRyFLhS8QGSkhpYhXi8o3Ogi5MkcAE=',"@SerapGueler Wie wollen diese beiden veganen Soldaten unser Land schützen wenn keine Munition vorhanden ist, vegane Fleischbälle auf den Gegner werfen?",wie wollen diese beiden veganen soldaten unser land schützen wenn keine munition vorhanden ist vegane fleischbälle auf den gegner werfen,how do these two vegan soldiers want to protect our country if no ammunition is available vegan meatballs throw at the opponent,b'gAAAAABkk1QzeswdCF15fuPs5aoKNlRjlf4p22aDBwbMjoaVRLDIZ-eg1Z6faDYB_GI_8iCui4Pf9fWfCrimyN9f8clOt3mrvrP_blmHV39YWYGav9uzIME=',22,two vegan soldiers want protect country ammunition available vegan meatballs throw opponent,two vegan soldier want protect country ammunition available vegan meatball throw opponent,2043,0.44999998807907104,False
b'gAAAAABkk1Qz-ilJsH2vxCSxlxAsOb3Ot0TsfqNWLylEhi0ZWLg6GcmlZ9iZE9T7M-2PgOYWrhlZOZKu0YSWIy0mgE_lCw56pbipZUAzRzLV-riqH19P_ik=',"Veganismus ausgedribbelt, natürlich nur echt mit gekauftem blauen Haken https://t.co/zaV4BdiUnz",veganismus ausgedribbelt natürlich nur echt mit gekauftem blauen haken,veganism drifted out of course only real with bought blue hook,b'gAAAAABkk1QznFeguA2RuWwwtuSaZByKlnR_IXGLrVCicAFVjoG-6lhLJswryABLRJfix2jXwOEUoX5AbbgV1lM4ZDtq_0qTUQ==',11,veganism drifted course real bought blue hook,veganism drifted course real bought blue hook,5,0.5899999737739563,True
b'gAAAAABkk1Qz1gJt0TZzrdDk7IiXbau7Iip77LMIN8VuZfXKvhRWL_5oVgVd7hmzRR0qY1c8bZGNBIGCDG_7_HIQrgRbpqFhCnJ4OkK85a16JrG0gfw9leI=',"""Der Faschismus ist der Gleiche geblieben, nur die Opfer sind unterschiedlich"" sagt die ""Militante Veganerin"" in einer Gleichsetzung des Holocausts mit der Tierindustrie.\n\nFür die Relativierung der Shoa bietet @TwitchDE selbstverständlich eine Monetarisierungsplattform. https://t.co/UZO4LIlaiV",der faschismus ist der gleiche geblieben nur die opfer sind unterschiedlich sagt die militante veganerin in einer gleichsetzung des holocausts mit der tierindustriefür die relativierung der shoa bietet selbstverständlich eine monetarisierungsplattform,fascism has remained the same only the victims are different says the militant vegan in an equalization of the holocaust with the animal industryfor the relativization of the shoa naturally offers a monetization platform,b'gAAAAABkk1QzF3JDnBYPqAv_srcqzfcF98MVuAIMo7pYcL10ONfHcgPGERbssn8GD6MqXasBsP_sFD_XqUSMZjoS2Tosc8umqQ==',34,fascism remained victims different says militant vegan equalization holocaust animal industryfor relativization shoa naturally offers monetization platform,fascism remained victim different say militant vegan equalization holocaust animal industryfor relativization shoa naturally offer monetization platform,5,0.5799999833106995,True
b'gAAAAABkk1Qz54d8lQJt-k6TsDBJrxcg3msCGxe6hlmpPZ-CMkXYqyg4lcq9DQfIqnQpe-Gb75xhiiC52vZUOMfJL3Ca9Jb5Gq7C8MFwpcycxWcxsGBe6nQ=',"@HansUnland @dockyyyyyyyyy Ich halte ja die Aufschrift ""vegan"" bei Apfelsaft für eine Lüge. 🤡😈",ich halte ja die aufschrift vegan bei apfelsaft für eine lüge,i think the inscription vegan at apple juice is a lie,b'gAAAAABkk1QztnFrMItUwmX00F1ssKfcBMOQgYi4AM4saU3oEg624p9jtZxN0zRhnxyE9OomkqrWcLnrS-Pc7KC_yPxh5_aU8Q==',11,think inscription vegan apple juice lie,think inscription vegan apple juice lie,5,0.5600000023841858,True
b'gAAAAABkk1Qz7IV78Hp3yEqKX9H0V0ZxYfPir-v3XXWFW8zLUojBf5Y_qVTGXlrnSXp_WKlF0zKCu2n-2s3GMI2gsiymZ-o8G3AQ2RB9NIKJUbBwxj246qo=',"@bine_delvalle Wenn diese Camembert, Wurst und Salami vegan sind hätte ich gerne die Marken. WOW!",wenn diese camembert wurst und salami vegan sind hätte ich gerne die marken wow,if these camembert sausages and salami are vegan i would like the brands wow,b'gAAAAABkk1QzAHmeXom9zHikI9RFO8-Xr4xdNRHUwQ1L5pA-femj9bOu_xMKAN7eDApZreY67des75node1Frx-VTVy9zjynHA==',14,camembert sausages salami vegan would like brands wow,camembert sausage salami vegan would like brand wow,3107,0.6499999761581421,False
b'gAAAAABkk1QzqybPPQTTurtoV6uOXab5tfnl6TJXOZ_b3i7ty-vvWE6F24bD0U42UFbY5iJ218hqh0OzOygMOlzwgnp2bMnJMjOutfbBMKN0G8RLtVVUeFU=',"Wollte Kichererbsenpasta mit Tofu, Tomatensoße und Rucola machen. Beim Kochen unnatürlich Bock auf Ananas bekommen und naja, jetzt irgendwie Tofu-Pfanne mit Ananas, Rucola und Chili 😍\n\n#veganfood #plantbasedfood https://t.co/2ownDMQq8J",wollte kichererbsenpasta mit tofu tomatensoße und rucola machen beim kochen unnatürlich bock auf ananas bekommen und naja jetzt irgendwie tofupfanne mit ananas rucola und chili veganfood plantbasedfood,wanted to make chickpea pasta with tofu tomato sauce and rucola while cooking unnatural bock on pineapple and well now somehow tofu pan with pineapple rucola and chili veganfood plantbasedfood,b'gAAAAABkk1QzD7tg3fX_2kiSci2Yqp0-wHZGCFsInpNaJrHbTvcgmmn9Ke8SaaSxL7TxmE2vrhmVRTv1kUxZNGvf6FgWZMOjH4-ZXT-ZJryqc5lF68rALuo=',30,wanted make chickpea pasta tofu tomato sauce rucola cooking unnatural bock pineapple well somehow tofu pan pineapple rucola chili veganfood plantbasedfood,wanted make chickpea pasta tofu tomato sauce rucola cooking unnatural bock pineapple well somehow tofu pan pineapple rucola chili veganfood plantbasedfood,3743,0.6299999952316284,False
